ingredients,instructions,time,title
"['1 cup uncooked white long-grain rice', '5 cups water', '1/2 cup milk', '1/2 tablespoon vanilla extract', '1/2 tablespoon ground cinnamon', '2/3 cup white sugar']","Pour the rice and water into the bowl of a blender; blend until the rice just begins to break up, about 1 minute. Let rice and water stand at room temperature for a minimum of 3 hours. Watch Now
Strain the rice water into a pitcher and discard the rice. Stir the milk, vanilla, cinnamon, and sugar into the rice water. Chill and stir before serving over ice. Watch Now",190,Lola's Horchata
"['3 medium russet potatoes, cubed', '3 tablespoons butter or margarine', 'salt and pepper to taste']","Rinse potato cubes with cold water, and drain well. Melt butter or margarine in a large skillet over medium heat. Place potatoes in the skillet, and stir to coat with butter. Season with salt and pepper. Cover with a lid, and cook for 10 minutes. Remove the lid, and cook for another 10 minutes, turning frequently until brown and crisp on all sides..",25,Quick and Easy Home Fries
"['1 (16 ounce) package ground pork breakfast sausage', '12 eggs', '1 (10.75 ounce) can condensed cream of mushroom soup', '1 ¼ cups milk', '1 (4.5 ounce) can sliced mushrooms, drained', '1 (32 ounce) package frozen potato rounds', '½ cup shredded Cheddar cheese']","Place sausage in a skillet over medium-high heat, and cook until evenly brown. Drain, and set aside.
Preheat oven to 350 degrees F (175 degrees C). Lightly grease a 9x13 inch baking dish.
In a large bowl, beat together the eggs, condensed cream of mushroom soup, and milk. Stir in the sausage and mushrooms, and pour into the prepared baking dish. Mix in the frozen potato rounds.
Bake in preheated oven for 45 to 50 minutes. Sprinkle with cheese, and bake an additional 10 minutes, or until cheese is melted.",75,Breakfast Casserole II
"['2 eggs, lightly beaten', '1/4 cup canola oil', '2 cups buttermilk', '2 teaspoons baking soda', '1/2 cup wheat germ', '1/2 teaspoon salt', '1 1/2 cups whole wheat pastry flour']","In a medium bowl, mix eggs with oil and buttermilk. Stir in baking soda, wheat germ, salt and flour; mix until blended.
Heat a lightly oiled griddle or frying pan over medium-high heat. Pour or scoop the batter onto the griddle, using approximately 1/4 cup for each pancake. Brown on both sides, turning once.",20,Wheat Germ Whole-Wheat Buttermilk Pancakes
"['½ cup butter', '1 cup sugar', '2 eggs', '2 cups all-purpose flour', '1 teaspoon baking soda', '½ teaspoon salt', '1 teaspoon ground cinnamon', '½ teaspoon ground cloves', '2 apples - peeled, cored and chopped']","Preheat oven to 350 degrees F (175 degrees C). Lightly grease an 8x4 inch loaf pan.
In a bowl, mix the butter and sugar until smooth and creamy. Beat in the eggs.
In a separate bowl, sift together the flour, baking soda, salt, cinnamon, and cloves. Mix into the butter mixture until moistened. Fold in the apples. Transfer to the prepared loaf pan.
Bake 1 hour in the preheated oven, until a toothpick inserted in the center comes out clean. Cool in the pan for 15 minutes before removing to a wire rack to cool completely.",90,Apple Breakfast Bread
"['5 eggs, lightly beaten', '1 1/2 cups milk', '1 cup half-and-half cream', '1 teaspoon vanilla extract', '1/2 (1 pound) loaf French bread, cut diagonally in 1 inch slices', '1/2 cup butter, melted', '1 cup light brown sugar', '2 tablespoons maple syrup', '1 cup chopped pecans']","In a large bowl, whisk together eggs, milk, cream and vanilla. Dip bread slices into egg mixture and place in a lightly greased 9x13 inch baking pan. Refrigerate overnight.
The next morning: Preheat oven to 350 degrees F (175 degrees C).
In a small bowl, combine butter, sugar, maple syrup and pecans. Spoon mixture over bread.
Bake in preheated oven until golden, about 40 minutes. Let stand 5 minutes before serving.",850,Make Ahead French Toast
"['1 pound fresh asparagus, trimmed and cut into 1/2 inch pieces', '10 slices bacon', '2 (8 inch) unbaked pie shells', '1 egg white, lightly beaten', '4 eggs', '1 ½ cups half-and-half cream', '¼ teaspoon ground nutmeg', 'salt and pepper to taste', '2 cups shredded Swiss cheese']","Preheat oven to 400 degrees F (200 degrees C). Place asparagus in a steamer over 1 inch of boiling water, and cover. Cook until tender but still firm, about 2 to 6 minutes. Drain and cool.
Place bacon in a large, deep skillet. Cook over medium high heat until evenly brown. Drain, crumble and set aside.
Brush pie shells with beaten egg white. Sprinkle crumbled bacon and  chopped asparagus into pie shells.
In a bowl, beat together eggs, cream, nutmeg, salt and pepper. Sprinkle Swiss cheese over bacon and asparagus. Pour egg mixture on top of cheese.
Bake uncovered in preheated oven until firm, about 35 to 40 minutes. Let cool to room temperature before serving.",60,Asparagus Quiche
"['1/2 cup whole wheat flour', '1/2 cup all-purpose flour', '2 tablespoons brown sugar', '2 tablespoons baking powder', '3/4 teaspoon salt', '1 1/2 cups quick cooking oats', '2 cups soy milk', '3 eggs, beaten', '1/4 cup olive oil', '1/2 cup frozen blueberries']","Preheat a lightly oiled griddle over medium heat.
In a large bowl, mix whole wheat flour, all-purpose flour, brown sugar, baking powder, and salt.
In a small bowl, mix oats and soy milk. Whisk in eggs and olive oil. Pour into the flour mixture all at once. Continue mixing until smooth. Gently fold in blueberries.
Pour batter about 1/4 cup at a time onto the prepared griddle. Cook 1 to 2 minutes, until bubbly. Flip, and continue cooking until lightly browned.",30,Oatmeal and Wheat Flour Blueberry Pancakes
"['1 ½ cups shredded Swiss cheese', '4 teaspoons all-purpose flour', '½ cup cooked ham, diced', '3 eggs', '1 cup milk', '¼ teaspoon salt', '¼ teaspoon ground dry mustard', '1 (9 inch) unbaked pie crust', '2 tablespoons chopped fresh parsley, for garnish', '2 tablespoons chopped pimento peppers, garnish']","In medium bowl, toss 4 teaspoons flour with the  grated cheese. Sprinkle mixture into the  pie shell. On top of cheese, sprinkle 1/2 cup of diced ham.
In medium bowl, combine eggs, milk or cream, and then add salt and mustard powder. Beat until smooth and pour over cheese and ham.
Put piece of plastic wrap large enough to overlap sides over top of quiche, then a piece of foil, and seal well around the edges. (plastic keeps the foil from sticking to the food). Place prepared quiche in freezer.
When ready to prepare, preheat oven to 400 degrees F (200 degrees C.) Remove foil and plastic wrap. Put foil around edge of crust to protect it.
Bake in the preheated oven for 60 minutes, or until filling is set and crust is golden brown. Garnish with parsley and pimiento if desired",80,Quiche
"['2 cups all-purpose flour', '4 teaspoons baking powder', '1/4 teaspoon salt', '1 1/2 cups milk', '6 tablespoons vegetable oil', '2 eggs, separated']","Preheat waffle iron. In a large mixing bowl, sift together flour, baking powder and salt. Stir in milk, oil and egg yolks until mixture is smooth. In a separate bowl, beat egg whites until soft peaks form. Gently fold egg whites into batter.
Spray preheated waffle iron with non-stick cooking spray. Pour mix onto hot waffle iron. Cook until golden; serve hot.",20,Waffles II
"['2 cups all-purpose flour', '2 teaspoons baking powder', '2 tablespoons white sugar', '1 teaspoon salt', '2 cups milk', '2 eggs', '2 tablespoons vegetable oil']","In a large bowl, stir together flour, baking powder, sugar and salt. Add milk, eggs and oil; mix well. Watch Now
Spray preheated waffle iron with non-stick cooking spray. Pour mix onto hot waffle iron. Cook until golden brown. Watch Now",15,Mom's Best Waffles
"['1 pound bacon', '2 onions, chopped', '2 cups fresh sliced mushrooms', '1 tablespoon butter', '4 cups frozen hash brown potatoes, thawed', '1 teaspoon salt', '¼ teaspoon garlic salt', '½ teaspoon ground black pepper', '4 eggs', '1 ½ cups milk', '1 pinch dried parsley', '1 cup shredded Cheddar cheese']","Place bacon in a large skillet. Cook over medium-high heat until evenly brown. Drain and set aside. Add the mushrooms and onion to the skillet; cook and stir until the onion has softened and turned translucent and the mushrooms are tender, about 5 minutes.
Grease a 9x13-inch casserole dish with the tablespoon of butter. Place potatoes in bottom of prepared dish.  Sprinkle with salt, garlic salt, and pepper. Top with crumbled bacon, then add the onions and mushrooms.
In a mixing bowl, beat the eggs with the milk and parsley. Pour the beaten eggs over the casserole and top with grated cheese. Cover and refrigerate overnight.
Preheat oven to 400 degrees F (200 degrees C).
Bake in preheated oven for 1 hour or until set.",100,Christmas Brunch Casserole
"['1 cup all-purpose flour', '2 teaspoons baking powder', '1 teaspoon baking soda', '1/4 teaspoon salt', '3/4 cup skim milk', '3 tablespoons butter, melted', '2 eggs', '1 tablespoon white sugar', '1 teaspoon vanilla extract', '1 large banana, diced', '1/2 cup miniature semisweet chocolate chips', '1/4 cup chopped pecans', 'cooking spray']","Combine flour, baking powder, baking soda, and salt in a large bowl. Set bowl aside. In a separate bowl, whisk together the skim milk, melted butter, eggs, sugar, and vanilla. Make a well in the center of the dry ingredients and stir in the wet ingredients, being careful not to over mix the batter. Gently fold in the banana, chocolate chips, and nuts.
Heat a large skillet over medium heat, and coat with cooking spray. Pour 1/4 cupfuls of batter onto the skillet, and cook until bubbles appear on the surface. Flip with a spatula, and cook until browned on the other side.",30,Chunky Monkey Pancakes
"['1/4 cup butter', '1 cup all-purpose flour', '1 cup milk', '6 eggs, lightly beaten', '1/8 teaspoon salt']","Preheat oven to 350 degrees F (175 degrees C). Melt butter in a medium baking dish.
In a medium bowl, mix flour, milk, eggs and salt. Pour the mixture into the prepared baking dish.
Bake on center rack in the preheated oven for 30 to 40 minutes, until golden brown.",55,German Pancakes II
"['3 eggs', '2 cups white sugar', '1 cup vegetable oil', '2 teaspoons vanilla extract', '2 cups grated zucchini', '1 cup chopped walnuts', '1 cup semisweet chocolate chips', '1 tablespoon orange zest', '3 cups all-purpose flour', '¼ teaspoon baking powder', '1 teaspoon baking soda', '1 teaspoon salt', '½ teaspoon ground cinnamon', '1 teaspoon ground nutmeg']","Sift together flour, baking powder, soda, salt, and spices.
In a large bowl, beat eggs until light and fluffy.  Add sugar, and continue beating until well blended.  Stir in oil, vanilla, zucchini, nuts, chocolate chips, and orange rind.  Blend in sifted ingredients.  Turn batter into two greased 9 x 5 inch loaf pans.
Bake at 350 degrees F (175 degrees C) for 50 minutes, or until bread tests done.  Remove loaves from pans, and cool.  Chill before slicing.",0,Chocolate Chip Orange Zucchini Bread
"['½ cup butter, softened', '1 cup brown sugar', '2 eggs', '1 tablespoon vanilla extract', '4 very ripe bananas, mashed', '2 cups all-purpose flour', '3 teaspoons baking powder', '½ teaspoon salt', '½ cup chopped walnuts']","Preheat oven to 350 degrees F (175 degrees C). Lightly grease a 9x5 inch loaf pan.
In a large bowl, cream together the butter and sugar until light and fluffy. Stir in the eggs one at a time, beating well with each addition. Stir in vanilla and banana. In a separate bowl, sift together flour, baking powder, and salt.
Blend the banana mixture into the flour mixture; stir just to combine. Fold in walnuts. Pour batter into prepared pan.
Bake in preheated oven for 1 hour, until a toothpick inserted into center of loaf comes out clean.",75,Brown Sugar Banana Nut Bread I
"['⅔ cup white sugar', '¼ cup margarine, softened', '2 eggs', '1 cup mashed bananas', '¼ cup water', '1 ⅔ cups all-purpose flour', '1 teaspoon baking soda', '½ teaspoon salt', '¼ teaspoon baking powder']","Preheat oven to 350 degrees F (175 degrees C). Spray one 9x5x3 inch loaf pan with a non-stick cooking spray.
In a medium bowl, beat the white sugar and margarine or butter until smooth and creamy. Beat in the eggs, water and bananas with the sugar mixture until it is well blended.
Mix in the flour, baking soda, salt and baking powder just until the mixture is moistened.  Be sure to scrape the sides of the bowl to blend all ingredients.
Bake at 350 degrees F (175 degree C) for about 60 minutes.  Bread is done when the top is firm to the touch and a golden brown color. Time will vary according to loaf size and oven type. When bread is removed from oven, allow it to cool on it's side for 10 minutes, then remove from pan and let cool on a rack. This bread is also excellent if you add mini chocolate chips or small fruit pieces to the mix just before baking.",75,Lower Fat Banana Bread I
"['8 eggs', '1 cup milk', '½ teaspoon seasoning salt', '3 ounces cooked ham, diced', '½ cup shredded Cheddar cheese', '½ cup shredded mozzarella cheese', '1 tablespoon dried minced onion']","Preheat oven to 350 degrees F (175 degrees C). Grease one 8x8 inch casserole dish and set aside.
Beat together the eggs and milk. Add seasoning salt, ham, Cheddar cheese, Mozzarella cheese and minced onion. Pour into prepared casserole dish.
Bake uncovered at 350 degrees F (175 degrees C) for 40 to 45 minutes.",55,Baked Omelet
"['5 medium red potatoes, diced with peel', '1 medium onion, chopped', '1 tablespoon garlic powder', '1 tablespoon kosher salt', '2 teaspoons chili powder', '¼ cup extra virgin olive oil', '1 cup shredded Cheddar cheese (optional)']","Preheat the oven to 450 degrees F (220 degrees C).
Arrange the potatoes and onions in a greased 9x13 inch baking dish so that they are evenly distributed. Season with garlic powder, salt and chili powder. Drizzle with olive oil. Stir to coat potatoes and onions with oil and spices.
Bake for 35 to 40 minutes in the preheated oven, until potatoes are fork tender and slightly crispy. Stir every 10 minutes. When done, sprinkle with cheese. Wait about 5 minutes for the cheese to melt before serving.",55,Easy Spicy Roasted Potatoes
"['1 (1 pound) loaf cinnamon raisin bread, cubed', '1 (8 ounce) package cream cheese, diced', '1 cup diced peeled apples', '8 eggs', '2 1/2 cups half-and-half cream', '6 tablespoons butter, melted', '1/4 cup maple syrup']","Coat a 9x13 inch baking dish with cooking spray. Arrange 1/2 of the cubed raisin bread in the bottom of the dish. Sprinkle the cream cheese evenly over the bread, and top with the apples. If you like extra raisins, add them now. Top with remaining bread.
In a large bowl, beat the eggs with the cream, butter, and maple syrup. Pour over the bread mixture. Cover with plastic wrap, and press down so that all bread pieces are soaked. Refrigerate at least 2 hours.
Preheat oven to 325 degrees F (165 degrees C).
Bake 45 minutes in the preheated oven. Let stand for 10 minutes before serving.",195,Apple Raisin French Toast Strata
"['2 cups all-purpose flour', '1 teaspoon baking powder', '½ teaspoon baking soda', '¾ cup white sugar', '3 tablespoons vegetable oil', '2 eggs', '2 bananas, peeled and halved lengthwise']","Place ingredients in the pan of the bread machine.
Select the Dough setting, and press Start. Mix the bread for 3 to 5 minutes until the bananas are mashed and all ingredients are thoroughly combined. If necessary, use a rubber spatula to push the dough from the sides of the bread pan. When 3 to 5 minutes have passed on the clock display, press Stop. Do not continue mixing. Smooth out the top of the loaf with the rubber spatula.
Select the Bake setting, and press Start. The Bake cycle time may vary with machines, but should be about 50 minutes. To test the bread for doneness, insert a toothpick into the center top. Remove the toothpick. If the bread is done, the toothpick will come out clean. If there is batter on the toothpick, reset the machine on Bake and continue to bake an additional 10 to 15 minutes. Test again with the toothpick to ensure the bread is completely baked. Remove the pan from the machine, but allow the bread to remain in the pan for 10 minutes. Remove the bread to cool completely on a wire rack.",75,Banana Bread - Quick Bread for Machines
"['1 1/2 teaspoons bacon grease', '1 slice bread', '1 egg', 'salt and ground black pepper to taste']","Melt the bacon grease in a non-stick pan over low heat.
Cut a 1 1/2 to 2-inch hole from the center of the bread slice; lay in the hot skillet. When the side facing down is lightly toasted, about 2 minutes, flip and crack the egg into the hole; season with salt and pepper. Continue to cook until the egg is cooked and mostly firm. Flip again and cook 1 minute more to assure doneness on both sides. Serve immediately.",5,Egg in a Hole
"['4 ripe bananas, cut into chunks', '1 ¼ cups light brown sugar', '½ cup butter, softened', '1 egg', '1 teaspoon cinnamon', '1 teaspoon vanilla extract', '¼ cup whole milk', '2 cups all-purpose flour', '½ teaspoon baking soda', '1 teaspoon baking powder', '½ teaspoon kosher salt']","Preheat oven to 350 degrees F (175 degrees C). Grease a 9x5-inch loaf pan.
Place the bananas into a large plastic zipper bag, seal the bag, and smoosh the bananas with your fingers until very well mashed. Set the bananas aside. Place the brown sugar and butter into a mixing bowl, and mix on medium speed with an electric mixer until light and fluffy, 1 to 2 minutes. Cut a corner from the plastic bag, and squeeze the mashed bananas into the bowl of brown sugar mixture. With the electric mixer on medium speed, beat in the bananas, egg, cinnamon, vanilla extract, and milk until the mixture is well combined. Switch the mixer to low speed, and gradually beat in the flour, baking soda, baking powder, and kosher salt just until the batter is smooth, about 1 minute. Spread the batter into the prepared loaf pan.
Bake in the preheated oven until the bread is set and lightly browned on top, about 40 minutes. A toothpick inserted into the center of the loaf should come out clean.",55,Brown Sugar Banana Bread
"['1 cup uncooked rolled oats', '1 cup whole wheat flour', '3/4 cup all-purpose flour', '1/4 cup brown sugar', '2 tablespoons dry milk powder', '2 teaspoons baking powder', '1/2 teaspoon baking soda', '1/2 teaspoon salt', '1 egg', '2 cups milk', '2 tablespoons vegetable oil', '1 teaspoon vanilla extract', '1 banana, mashed']","Place the rolled oats into the jar of a blender and blend until the texture resembles coarse flour. Whisk together the blended oats, whole wheat flour, all-purpose flour, brown sugar, dry milk powder, baking powder, baking soda, and salt in a bowl; set aside.
Whisk together the egg, milk, vegetable oil, and vanilla. Stir in the mashed banana. Pour the egg mixture into the flour mixture and stir just until moistened. Let the batter stand for 5 minutes.
Heat a lightly oiled griddle over medium-high heat. Drop batter by large spoonfuls onto the griddle, and cook until bubbles form and the edges are dry, about 2 minutes. Flip, and cook until browned on the other side. Repeat with remaining batter.",30,"Whole Wheat, Oatmeal, and Banana Pancakes"
"['2 cups dry pancake mix', '1 teaspoon ground cinnamon', '2 eggs', '1 cup applesauce', '1 teaspoon lemon juice', '1/2 cup milk']","In a large bowl, stir together pancake mix and cinnamon. Make a well in the center of the pancake mix. Add the eggs, applesauce, lemon juice and milk; stir until smooth.
Heat a lightly oiled griddle or frying pan over medium high heat. Pour or scoop the batter onto the griddle, using approximately 1/4 cup for each pancake. Brown on both sides and serve hot.",30,Mom's Applesauce Pancakes
"['3 ½ cups all-purpose flour', '2 cups packed dark brown sugar', '⅔ cup white sugar', '2 cups pumpkin puree', '1 cup vegetable oil', '⅔ cup coconut milk', '2 teaspoons baking soda', '1 teaspoon salt', '1 teaspoon ground nutmeg', '1 ½ teaspoons ground cinnamon', '⅔ cup flaked coconut', '1 cup toasted walnuts, chopped']","Preheat oven to 350 degrees F (175 degrees C). Grease and flour two 8x4 inch loaf pans.
In a large bowl combine the flour, brown sugar, white sugar, pumpkin puree, oil, coconut milk, baking soda, salt, ground nutmeg and ground cinnamon. Mix until all of the flour is gone. Fold in the nuts and flaked coconut. Pour batter into the prepared pans.
Bake at 350 degrees F (175 degrees C) for 1 hour and 15 minutes or until a toothpick inserted in the center comes out clean. Remove from oven and cover loaves with foil tightly. Allow to steam for 10 minutes. Remove foil and turn out onto a cooling rack. Tent lightly with the foil and allow to cool completely.",0,Super Moist Pumpkin Bread
"['1/2 cup vegetable oil', '3/4 cup white sugar', '2 eggs', '1 cup milk', '1/2 teaspoon salt', '1 tablespoon baking powder', '3 cups quick cooking oats', '1/2 cup raisins', '2 tablespoons brown sugar', '1/2 teaspoon ground cinnamon']","Beat together oil and sugar. Mix in eggs, milk, salt, baking powder, oatmeal. Beat well then stir in raisins. Pour into a lightly grease pie pan. Sprinkle with brown sugar and cinnamon. Refrigerate overnight.
The next morning, preheat oven to 350 degrees F (175 degrees C).
Bake in preheated oven until firm, about 35 minutes. Serve hot.",45,Baked Oatmeal I
"['2 ½ cups white sugar', '1 cup shortening', '3 eggs', '1 ½ cups mashed bananas', '3 cups all-purpose flour', '1 ¼ cups buttermilk', '1 ½ teaspoons baking soda', '1 ½ teaspoons baking powder', '1 teaspoon vanilla extract', '½ cup chopped walnuts']","Preheat oven to 350 degrees F (175 degrees C).
Cream together shortening and sugar.  Add eggs one at a time, beating well after each addition.  Mix in bananas, buttermilk, and vanilla.  Mix in flour, baking powder, and soda.  Stir in nuts if desired. Pour batter into two greased 9x5 inch pans.
Bake for 50 to 60 minutes in the preheated oven, or until a toothpick inserted into the center of the loaf comes out clean.",70,Banana Nut Bread I
"['1 cup brown sugar', '1 teaspoon ground cinnamon', '1/2 cup butter, melted', '3 apples - peeled, cored and sliced', '1/2 cup raisins', '1 (1 pound) loaf French baguette, cut into 1 inch slices', '6 eggs, lightly beaten', '1 1/2 cups milk', '1 tablespoon vanilla extract', '2 teaspoons ground cinnamon']","Grease a 9x13 inch baking dish. In a large bowl, mix together brown sugar and 1 teaspoon cinnamon. Mix in melted butter. Stir in apples and raisins until evenly coated. Pour into prepared pan. Arrange bread slices in an even layer over apples.
In the bowl, whisk together eggs, milk, vanilla and 2 teaspoons cinnamon. Pour over bread, making sure every slice is fully soaked. Cover with aluminum foil, and refrigerated overnight.
Preheat oven to 375 degrees F (190 degrees C). Remove dish from refrigerator while the oven is heating. Bake covered for 40 minutes. Remove cover, and bake 5 minutes. Let stand 5 minutes before serving.",60,Apple-Raisin French Toast Casserole
"['1 cup packed brown sugar', '1/3 cup butter, melted', '2 tablespoons light corn syrup', '1/3 cup chopped pecans', '12 (3/4 inch thick) slices French bread', '1 teaspoon grated orange zest', '1 cup fresh orange juice', '1/2 cup 2% milk', '3 tablespoons white sugar', '1 teaspoon ground cinnamon', '1 teaspoon vanilla extract', '3 egg whites', '2 eggs', ""1 tablespoon confectioners' sugar for dusting""]","In a small bowl, stir together the brown sugar, melted butter, and corn syrup. Pour into a greased 9x13 inch baking dish, and spread evenly. Sprinkle pecans over the sugar mixture. Arrange the bread slices in the bottom of the dish so they are in a snug single layer.
In a medium bowl, whisk together the orange zest, orange juice, milk, sugar, cinnamon, vanilla, egg whites, and eggs. Pour this mixture over the bread, pressing on the bread slices to help absorb the liquid. Cover and refrigerate for at least one hour, or overnight.
Preheat the oven to 350 degrees F (175 degrees C ). Remove the cover from the baking dish, and let stand for 20 minutes at room temperature.
Bake for 35 minutes in the preheated oven, until golden brown. Dust with confectioners' sugar before serving.",115,Orange Pecan French Toast
"['1/4 cup butter, melted', '1 egg', '1 cup milk', '1 cup shredded tart apple', '1 1/4 cups all-purpose flour', '1 1/4 teaspoons baking powder', '1/4 teaspoon ground cinnamon', '1 tablespoon white sugar']","In a large bowl, combine butter, egg, milk and apple. In a separate bowl, sift together flour, baking powder, cinnamon and sugar. Stir flour mixture into apple mixture, just until combined.
Heat a lightly oiled griddle or frying pan over medium high heat. Pour or scoop the batter onto the griddle, using approximately 1/4 cup for each pancake. Brown on both sides and serve hot.",35,Veronica's Apple Pancakes
"['1 9-inch unbaked pie crust (see footnote for recipe link)', '8 slices bacon, cut into 1 inch pieces', '1/2 cup chopped leeks (white and pale green parts only)', '1/2 cup chopped onion', 'salt and freshly ground black pepper to taste', '1 pinch cayenne pepper, or more to taste', '3 large eggs', '2 egg yolks', '1 cup heavy cream', '3/4 cup milk', '1 teaspoon chopped fresh thyme', '6 ounces shredded Gruyere cheese']","Preheat oven to 425 degrees F (220 degrees C).
Roll pie dough to fit a 9 inch pie plate. Place bottom crust in pie plate and chill for at least 20 minutes before baking. Line the chilled pie crust with foil and fill halfway up with dried beans, rice, or baking weights. Bake in the preheated oven for 7 minutes. Remove foil and weights and bake until golden brown, about 5 minutes.
Reduce oven to 325 degrees F (165 degrees C).
Cook bacon in a skillet over medium heat until browned and cooked through, 8 to 10 minutes. Remove from pan to drain. Blot out some of the oil from the skillet, leaving 1 to 2 teaspoons. Add leeks, onion, salt, black pepper, and cayenne pepper. Cook and stir until tender and golden brown, 5 to 7 minutes. Set aside.
Whisk eggs, egg yolks, cream, and milk together in a large bowl. Add thyme and stir to combine.
Sprinkle 2/3 of onion-leek mixture on the bottom of the baked crust. Top with 1/3 cooked bacon and 2/3 Gruyere cheese. Ladle in egg mixture carefully. Sprinkle with remaining onion-leek mixture, remaining bacon, and remaining Gruyere cheese.
Bake filled quiche in the preheated oven until browned and set, and no longer jiggly in the center, 40 to 45 minutes. Allow to cool slightly before serving.",105,Chef John's Quiche Lorraine
"['5 slices bacon', '1 (8 ounce) package cream cheese, softened', '2 tablespoons milk', '2 eggs', '½ cup shredded Swiss cheese', '2 tablespoons chopped green onion', '1 (10 ounce) can refrigerated flaky biscuit dough']","Preheat oven to 375 degrees F (190 degrees C). Lightly grease 10 muffin cups.
Place bacon in a large, deep skillet. Cook over medium high heat until crisp and evenly brown. Drain, crumble, and set aside.
Place the cream cheese, milk, and eggs in a medium bowl, and beat until smooth with an electric mixer set on Low. Stir in Swiss cheese and green onion, and set aside.
Separate dough into 10 biscuits. Press into the bottom and sides of each muffin cup, forming 1/4 inch rims. Sprinkle half of the bacon into the bottoms of the dough-lined muffin cups. Spoon about 2 tablespoons of the cream cheese mixture into each cup.
Bake 20 to 25 minutes in the preheated oven, until filling is set and rims of the tarts are golden brown. Sprinkle with the remaining bacon, and lightly press into the filling. Remove from pan, and serve warm.",40,Bacon Quiche Tarts
"['1/2 cup nonfat milk', '1/2 cup fat-free plain yogurt', '1/2 frozen banana, peeled and chopped', '2 tablespoons powdered protein supplement', '1 1/2 tablespoons flax seed', '1 teaspoon honey', '1/2 cup frozen strawberries']","In a blender, blend the milk, yogurt, banana, protein supplement, flax seed, honey, and strawberries until smooth.",10,All-Around Good Smoothie
"['2 eggs', '2 slices ham, chopped (optional)', '½ cup shredded Cheddar cheese', '1 tablespoon chopped onion (optional)', '1 tablespoon chopped green bell pepper (optional)', '2 tablespoons chopped fresh tomato (optional)', '1 tablespoon chunky salsa (optional)', '2 fresh mushrooms, sliced (optional)']","Crack the eggs into a large resealable freezer bag. Press out most of the air, and seal. Shake or squeeze to beat the eggs. Open the bag, and add the ham, cheese, onion, green pepper, tomato, salsa, and mushrooms. Squeeze out as much of the air as you can, and seal the bag.
Bring a large pot of water to a boil. Place up to 8 bags at a time into the boiling water. Cook for exactly 13 minutes. Open the bag, and let the omelet roll out onto a plate. The omelet should roll out easily.",28,Omelet in a Bag
"['1 1/2 cups old-fashioned oatmeal', '1 1/2 cups whole wheat flour', '2 teaspoons baking soda', '1 teaspoon baking powder', '1/2 teaspoon salt', '1 1/2 cups buttermilk', '1 cup milk', '1/4 cup vegetable oil', '1 egg', '1/3 cup sugar', '3 tablespoons chopped walnuts (optional)']","Grind the oats in a blender or food processor until fine. In a large bowl, combine ground oats, whole wheat flour, baking soda, baking powder, and salt.
In another bowl, combine buttermilk, milk, oil, egg, and sugar with an electric mixer until smooth. Mix wet ingredients into dry with a few swift strokes. Stir in nuts, if desired.
Lightly oil a skillet or griddle, and preheat it to medium heat. Ladle 1/3 cup of the batter onto the hot skillet; cook the pancakes for 2 to 4 minutes per side, or until brown.",30,Grain and Nut Whole Wheat Pancakes
"['1 banana, cut in chunks', '1 cup grapes', '1 (6 ounce) tub vanilla yogurt', '1/2 apple, cored and chopped', '1 1/2 cups fresh spinach leaves']","Place the banana, grapes, yogurt, apple and spinach into a blender. Cover, and blend until smooth, stopping frequently to push down anything stuck to the sides. Pour into glasses and serve.",10,Groovy Green Smoothie
"['½ cup butter, softened', '1 cup white sugar', '2 eggs', '½ cup peanut butter', '2 bananas, mashed', '2 cups all-purpose flour', '1 teaspoon baking soda', '½ cup chopped walnuts']","Preheat oven to 325 degrees F (165 degrees C). Lightly grease a 5x9 inch loaf pan.
In a large mixing bowl, cream together butter and sugar. Add eggs; beat well. Stir in peanut butter, bananas, flour and baking soda until blended. Fold in walnuts. Pour into prepared pan.
Bake at 325 degrees F (165 degrees C) for 70 minutes, or until a toothpick inserted into center of the loaf comes out clean. Remove to a wire rack to cool.",85,Banana Peanut Butter Bread
"['3/4 cup milk', '2 tablespoons white vinegar', '1 cup all-purpose flour', '2 tablespoons white sugar', '1 teaspoon baking powder', '1/2 teaspoon baking soda', '1/2 teaspoon salt', '1 egg', '2 tablespoons butter, melted', '1 1/2 teaspoons ground cinnamon, or as desired (optional)', '1 teaspoon vanilla extract (optional)', 'cooking spray']","Stir milk and vinegar together in a bowl; set aside to 'sour' for about 5 minutes.
Whisk flour, sugar, baking powder, baking soda, and salt together in a bowl. Whisk egg and butter into sour milk. Pour flour mixture into milk mixture and whisk until batter is smooth. Add cinnamon and vanilla extract to batter; mix well.
Heat a large skillet over medium heat and coat with cooking spray. Drop batter, 1/4 cup per pancake, onto the griddle and cook until bubbles form and the edges are dry, 3 to 4 minutes. Flip and cook until browned on the other side, 2 to 3 minutes. Repeat with remaining batter.",30,Fluffy and Delicious Pancakes
